recipient_name,v1_digital,v3_digital,delta,v1_gov,v3_gov,v1_hd,v3_hd,v1_inf,v3_inf
Côte d'Ivoire,277,1027,750,66,384,204,429,7,214
Eswatini,36,91,55,21,50,10,35,5,6
Fiji,11,55,44,3,25,8,26,0,4
Indonesia,732,3285,2553,360,1388,220,1088,152,809
Kenya,1318,3862,2544,338,1007,911,2528,69,327
Nigeria,400,1586,1186,139,522,213,862,48,202
Palau,2,4,2,0,1,0,1,2,2
Philippines,472,1609,1137,104,472,236,604,132,533
Thailand,117,582,465,42,187,65,355,10,40
Timor-Leste,59,215,156,35,121,24,86,0,8
Uganda,1023,2536,1513,251,741,731,1589,41,206
Viet Nam,677,3518,2841,342,1074,241,1702,94,742
