concept_id,sub_concept_id,dimension_label,jurisdiction,raw_reference,atom_raw,atom_law,atom_kind,atom_anchor,atom_paragraphs,reason
provider-developer,provider,Penalties,co,Colorado Consumer Protection Act,Colorado Consumer Protection Act,,,,,law-not-detected|no-anchor
provider-developer,provider-of-high-risk-ai-systems,Term,co,"Colorado SB24-205, 6-1-1701; Colorado SB24-205, 6-1-1704; Colorado SB24-205, 6-1-1702 (4); Colorado SB24-205, 6-1-1702 (2); Colorado SB24-205, 6-1-1702 (3); Colorado SB24-205, 6-1-1702 (5); Colorado SB24-205, 6-1-1706; Colorado Consumer Protection Act",Colorado Consumer Protection Act,,,,,law-not-detected|no-anchor
provider-developer,provider-of-high-risk-ai-systems,Penalties,co,Colorado Consumer Protection Act,Colorado Consumer Protection Act,,,,,law-not-detected|no-anchor
deployer-supplier,deployer,Term,co,"Colorado SB24-205, 6-1-1701. (6); Colorado SB24-205, 6-1-1704. (1); Colorado SB24-205, 6-1-1706 (3); Colorado Consumer Protection Act",Colorado Consumer Protection Act,,,,,law-not-detected|no-anchor
deployer-supplier,deployer,Penalties,co,Colorado Consumer Protection Act,Colorado Consumer Protection Act,,,,,law-not-detected|no-anchor
deployer-supplier,deployer-of-high-risk-ai-systems,Term,co,"Colorado SB24-205, 6-1-1701. (9); Colorado SB24-205, 6-1-1701. (3); Colorado SB24-205, 6-1-1701. (6); Colorado SB24-205, 6-1-1703.; Colorado SB24-205, 6-1-1703. (9); Colorado SB24-205, 6-1-1703. (7); Colorado SB24-205, 6-1-1706 (3); Colorado Consumer Protection Act",Colorado Consumer Protection Act,,,,,law-not-detected|no-anchor
deployer-supplier,deployer-of-high-risk-ai-systems,Term,ut,"Utah SB226, 13-75-101 (5); Utah SB226, 13-75-101 (8); Utah Code; Utah SB226, 13-75-103 (2); Utah SB226, 13-75-104 (1, 2); Utah SB226, 13-75-105 (4)",Utah Code,,,,,law-not-detected|no-anchor
deployer-supplier,deployer-of-high-risk-ai-systems,Scope,ut,"Utah SB226, 13-75-101 (5); Utah SB226, 13-75-101 (8); Utah Code",Utah Code,,,,,law-not-detected|no-anchor
deployer-supplier,deployer-of-high-risk-ai-systems,Penalties,co,Colorado Consumer Protection Act,Colorado Consumer Protection Act,,,,,law-not-detected|no-anchor
deployer-supplier,deployer-of-general-purpose-ai-systems,Term,ut,"Utah Code; Utah SB226, 13-75-101. (4); Utah SB226, 13-75-103 (1); Utah SB226, 13-75-104 (1, 2); Utah SB226, 13-75-105 (4)",Utah Code,,,,,law-not-detected|no-anchor
deployer-supplier,deployer-of-general-purpose-ai-systems,Scope,ut,"Utah Code; Utah SB226, 13-75-101. (4)",Utah Code,,,,,law-not-detected|no-anchor
