region,investment_type,q1,median,q3,iqr,w_low,w_high
EU,angel,119227,283052,528044,408817,9520,1141269.5
EU,pre_seed,108656,240000,654267,545611,3000,1472683.5
EU,seed,404321.5,1129978,2477430.25,2073108.75,5621,5587093.375
EU,series_a,3323724,6322678,11707450,8383726,152000,24283039
EU,series_b,10368526.5,22904044,34500000,24131473.5,1178433,70697210.25
EU,series_c,16666059,45000000,82000000,65333941,1510966,180000911.5
US,angel,117500,325000,865000,747500,5,1986250
US,pre_seed,120000,300000,720000,600000,6,1620000
US,seed,664995,2000000,3947500,3282505,1000,8871257.5
US,series_a,5025000,10000000,15100000,10075000,20000,30212500
US,series_b,12050000,23000000,40000000,27950000,347500,81925000
US,series_c,24000000,42000000,80000000,56000000,2000000,164000000
