group,year,total_rounds,ai_rounds,share_rounds_pct,total_capital_usd,ai_capital_usd,share_capital_pct
EU27,2010,1271,21,1.65,13939252056,35152582,0.25
EU27,2011,1609,21,1.31,7576427234,40346077,0.53
EU27,2012,2266,60,2.65,7320269493,73622008,1.01
EU27,2013,3354,77,2.3,16640229105,71543723,0.43
EU27,2014,4294,123,2.86,21529020625,233027556,1.08
EU27,2015,5920,175,2.96,17859958972,481643831,2.7
EU27,2016,6606,279,4.22,28563912198,288854566,1.01
EU27,2017,7145,327,4.58,43117721604,697613661,1.62
EU27,2018,7253,433,5.97,54136145751,677810104,1.25
EU27,2019,7595,528,6.95,58401299488,1503878969,2.58
EU27,2020,7297,495,6.78,86550805144,1194863468,1.38
EU27,2021,9536,568,5.96,165107952398,2750040139,1.67
EU27,2022,9048,488,5.39,141086405039,2715191545,1.92
EU27,2023,8073,433,5.36,186830383713,3134843849,1.68
EU27,2024,6985,383,5.48,390635990315,3128460267,0.8
United States,2010,7559,83,1.1,54703899110,448564897,0.82
United States,2011,8899,118,1.33,56852709740,461198845,0.81
United States,2012,10978,202,1.84,69072983111,728037200,1.05
United States,2013,14277,334,2.34,98207966487,1270227149,1.29
United States,2014,17953,499,2.78,183366408373,16993628005,9.27
United States,2015,17982,679,3.78,152949346463,2670854213,1.75
United States,2016,16980,895,5.27,156688894475,4659412451,2.97
United States,2017,17670,1138,6.44,206447198548,6257586947,3.03
United States,2018,20093,1223,6.09,371041905530,12268138527,3.31
United States,2019,20805,1328,6.38,301359738681,13483139865,4.47
United States,2020,21903,1406,6.42,443662422795,11807664096,2.66
United States,2021,27205,1745,6.41,655567509722,38392364564,5.86
United States,2022,27272,1519,5.57,655949811634,31596938905,4.82
United States,2023,28511,1423,4.99,849942351173,36079644301,4.24
United States,2024,24643,1353,5.49,1500060191671,79661445875,5.31
