index1,index2,Country,Region
79.93278311,33.52105234,United Kingdom,Inner London (UKI1)
77.11139506,52.63908709,France,Île de France (FR10)
53.52444792,36.04658209,Germany,Oberbayern (DE21)
33.34756157,41.25005285,Netherlands,Noord-Brabant (NL41)
30.85094234,86.20146045,Sweden,Stockholm (SE11)
21.75240497,36.04658209,Germany,Stuttgart (DE11)
21.57494535,36.04658209,Germany,Berlin (DE30)
20.54820574,36.04658209,Germany,Karlsruhe (DE12)
19.59245922,46.72700059,Switzerland,Zürich (CH04)
18.95735186,33.52105234,United Kingdom,"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)"
16.51030999,73.99859172,Finland,Helsinki-Uusimaa (FI1B)
16.24168262,33.52105234,United Kingdom,East Anglia (UKH1)
15.56613765,60.52531754,Spain,Comunidad de Madrid (ES30)
14.37130888,27.67149439,Ireland,Southern and Eastern (IE02)
14.09167225,36.04658209,Germany,Köln (DEA2)
13.92713437,33.05771163,Italy,Lombardia (ITC4)
13.83206752,52.63908709,France,Rhône-Alpes (FR71)
11.96783091,36.04658209,Germany,Darmstadt (DE71)
11.67174351,46.72700059,Switzerland,Région lémanique (CH01)
11.62486591,36.04658209,Germany,Mittelfranken (DE25)
